# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:100000,num_iter:1000000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:24041,num_snp_partitions:6,num_samps:1000
left_snp right_snp mean p0.025 p0.500 p0.975
232 310 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
310 314 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
314 335 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
335 811 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
811 857 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
857 1004 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
1004 1501 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
1501 2299 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
2299 3534 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
3534 8834 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
8834 11598 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
11598 12252 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
12252 12699 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
12699 15816 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
15816 16578 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
16578 17373 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
17373 18662 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
18662 19527 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
19527 20603 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
20603 21247 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
21247 23346 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
23346 26471 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
26471 30724 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
30724 41223 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
41223 43985 4.5975e-05 3.3809e-05 4.5602e-05 6.0192e-05
