Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.498646	9.68978e-05	2566.08	5146.1
1/delta	0.00175592	1.20159e-09	2565.98	1.46133e+06
nu	0.0208526	1.42793e-08	30452	1.46034e+06
124-2.whole.wo.indels.fasta.chr-10	7.23024e-06	3.84227e-12	13.6056	1.88176e+06
131-4.whole.wo.indels.fasta.chr-10	9.46566e-06	5.02558e-12	17.8285	1.8835e+06
132-2.whole.wo.indels.fasta.chr-10	6.26372e-06	3.31854e-12	11.8227	1.88749e+06
134-1.whole.wo.indels.fasta.chr-10	4.11031e-06	2.17772e-12	7.75793	1.88743e+06
14-23s.whole.wo.indels.fasta.chr-10	0.00118087	7.60081e-10	1834.62	1.55361e+06
142-2.whole.wo.indels.fasta.chr-10	2.58452e-06	1.36915e-12	4.87875	1.88768e+06
144-2.whole.wo.indels.fasta.chr-10	4.92197e-06	2.60808e-12	9.28876	1.8872e+06
15-183s.whole.wo.indels.fasta.chr-10	7.68713e-05	4.18496e-11	141.201	1.83685e+06
15-186s.whole.wo.indels.fasta.chr-10	3.58211e-06	1.89777e-12	6.76135	1.88753e+06
15-19s.whole.wo.indels.fasta.chr-10	4.83079e-06	2.55934e-12	9.11816	1.88751e+06
15-1s.whole.wo.indels.fasta.chr-10	1.01641e-05	5.38735e-12	19.1761	1.88666e+06
15-20s.whole.wo.indels.fasta.chr-10	3.03491e-05	1.62431e-11	56.7053	1.86843e+06
15-235s.whole.wo.indels.fasta.chr-10	7.70125e-05	4.15338e-11	142.797	1.85421e+06
15-43s.whole.wo.indels.fasta.chr-10	5.14882e-06	2.72807e-12	9.71761	1.88735e+06
151-3.whole.wo.indels.fasta.chr-10	6.94191e-06	3.67757e-12	13.1038	1.88763e+06
152-1.whole.wo.indels.fasta.chr-10	1.04086e-06	5.51223e-13	1.96542	1.88827e+06
152-3.whole.wo.indels.fasta.chr-10	3.07988e-06	1.6313e-12	5.81478	1.88799e+06
152-4.whole.wo.indels.fasta.chr-10	4.59301e-06	2.43485e-12	8.66409	1.88636e+06
212-2.whole.wo.indels.fasta.chr-10	2.12536e-06	1.12576e-12	4.01254	1.88793e+06
213-1.whole.wo.indels.fasta.chr-10	2.52434e-06	1.33726e-12	4.76518	1.88769e+06
38-1.whole.wo.indels.fasta.chr-10	1.62745e-06	8.62033e-13	3.0725	1.88792e+06
45-1.whole.wo.indels.fasta.chr-10	5.63679e-06	2.98607e-12	10.6406	1.8877e+06
45-12.whole.wo.indels.fasta.chr-10	1.56455e-06	8.28976e-13	2.95281	1.88732e+06
45-13.whole.wo.indels.fasta.chr-10	5.64236e-06	2.98869e-12	10.6522	1.8879e+06
45-4.whole.wo.indels.fasta.chr-10	5.65884e-06	2.9972e-12	10.6841	1.88804e+06
47-10.whole.wo.indels.fasta.chr-10	3.59356e-06	1.90322e-12	6.78516	1.88815e+06
54-1.whole.wo.indels.fasta.chr-10	8.3868e-05	4.5702e-11	153.907	1.83511e+06
54-10.whole.wo.indels.fasta.chr-10	3.46339e-05	1.84425e-11	65.0404	1.87794e+06
736-1.whole.wo.indels.fasta.chr-10	0.000138045	7.45708e-11	255.548	1.85119e+06
As_615.whole.wo.indels.fasta.chr-10	6.1754e-06	3.27205e-12	11.655	1.88732e+06
As_628.whole.wo.indels.fasta.chr-10	5.78789e-06	3.06746e-12	10.921	1.88687e+06
As_676-1.whole.wo.indels.fasta.chr-10	0.000186296	1.0795e-10	321.5	1.72575e+06
As_687-1.whole.wo.indels.fasta.chr-10	4.93571e-06	2.61548e-12	9.31424	1.88711e+06
As_691-1.whole.wo.indels.fasta.chr-10	3.65601e-06	1.93763e-12	6.89833	1.88685e+06
As_692-1.whole.wo.indels.fasta.chr-10	6.00353e-06	3.18483e-12	11.3169	1.88504e+06
As_711-2.whole.wo.indels.fasta.chr-10	4.10972e-06	2.17716e-12	7.75773	1.88765e+06
As_720-3.whole.wo.indels.fasta.chr-10	3.17343e-06	1.68213e-12	5.98683	1.88655e+06
As_732-1.whole.wo.indels.fasta.chr-10	5.15295e-06	2.73105e-12	9.72259	1.8868e+06
As_737-1.whole.wo.indels.fasta.chr-10	4.67486e-06	2.47714e-12	8.82239	1.8872e+06
As_739-3.whole.wo.indels.fasta.chr-10	3.60128e-05	1.94557e-11	66.6602	1.85101e+06
