Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.531038	7.92226e-05	3559.61	6703.12
1/delta	0.00108024	3.27792e-10	3559.9	3.29549e+06
nu	0.0154519	4.69023e-09	50906.3	3.2945e+06
124-2.whole.wo.indels.fasta.chr-3	1.14587e-05	3.4637e-12	37.9081	3.30823e+06
131-4.whole.wo.indels.fasta.chr-3	5.84726e-06	1.76418e-12	19.3803	3.31443e+06
132-2.whole.wo.indels.fasta.chr-3	2.92402e-06	8.82165e-13	9.69197	3.3146e+06
134-1.whole.wo.indels.fasta.chr-3	5.88073e-06	1.77619e-12	19.4703	3.31087e+06
14-23s.whole.wo.indels.fasta.chr-3	0.000443024	1.62996e-10	1204.14	2.718e+06
142-2.whole.wo.indels.fasta.chr-3	3.5107e-06	1.05911e-12	11.6372	3.31476e+06
144-2.whole.wo.indels.fasta.chr-3	2.94522e-06	8.88214e-13	9.76606	3.3159e+06
15-183s.whole.wo.indels.fasta.chr-3	6.17761e-05	1.92688e-11	198.055	3.20602e+06
15-186s.whole.wo.indels.fasta.chr-3	4.54934e-06	1.37299e-12	15.074	3.31345e+06
15-19s.whole.wo.indels.fasta.chr-3	3.10937e-06	9.38411e-13	10.3027	3.31344e+06
15-1s.whole.wo.indels.fasta.chr-3	0.000125957	3.98363e-11	398.261	3.16187e+06
15-20s.whole.wo.indels.fasta.chr-3	6.49562e-05	2.02812e-11	208.04	3.20278e+06
15-235s.whole.wo.indels.fasta.chr-3	7.63262e-05	2.34168e-11	248.783	3.25947e+06
15-43s.whole.wo.indels.fasta.chr-3	3.03628e-06	9.17772e-13	10.045	3.30832e+06
151-3.whole.wo.indels.fasta.chr-3	4.6941e-06	1.41621e-12	15.5589	3.31456e+06
152-1.whole.wo.indels.fasta.chr-3	2.63331e-06	7.9479e-13	8.7247	3.31321e+06
152-3.whole.wo.indels.fasta.chr-3	7.4152e-06	2.23808e-12	24.5681	3.3132e+06
152-4.whole.wo.indels.fasta.chr-3	3.84031e-06	1.1589e-12	12.7258	3.31376e+06
212-2.whole.wo.indels.fasta.chr-3	1.25792e-06	3.79526e-13	4.16929	3.31444e+06
213-1.whole.wo.indels.fasta.chr-3	3.23832e-06	9.77254e-13	10.7308	3.3137e+06
38-1.whole.wo.indels.fasta.chr-3	5.13407e-06	1.54923e-12	17.0141	3.31395e+06
45-1.whole.wo.indels.fasta.chr-3	5.41717e-06	1.63517e-12	17.9466	3.31292e+06
45-12.whole.wo.indels.fasta.chr-3	3.41239e-06	1.02968e-12	11.3087	3.31402e+06
45-13.whole.wo.indels.fasta.chr-3	4.26899e-06	1.28857e-12	14.143	3.31297e+06
45-4.whole.wo.indels.fasta.chr-3	3.81171e-06	1.14979e-12	12.6363	3.31514e+06
47-10.whole.wo.indels.fasta.chr-3	4.51557e-06	1.36218e-12	14.9689	3.31495e+06
54-1.whole.wo.indels.fasta.chr-3	5.51838e-05	1.69477e-11	179.685	3.25612e+06
54-10.whole.wo.indels.fasta.chr-3	3.70029e-05	1.1629e-11	117.741	3.18195e+06
736-1.whole.wo.indels.fasta.chr-3	0.000125495	4.01482e-11	392.274	3.1258e+06
As_615.whole.wo.indels.fasta.chr-3	2.64411e-06	7.97494e-13	8.76662	3.31553e+06
As_628.whole.wo.indels.fasta.chr-3	4.74282e-06	1.43235e-12	15.7045	3.31123e+06
As_676-1.whole.wo.indels.fasta.chr-3	0.000106974	3.38993e-11	337.571	3.15564e+06
As_687-1.whole.wo.indels.fasta.chr-3	4.525e-06	1.36532e-12	14.9969	3.31423e+06
As_691-1.whole.wo.indels.fasta.chr-3	3.29463e-06	9.94776e-13	10.9116	3.31193e+06
