Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.534795	3.99843e-05	7152.94	13375.1
1/delta	0.00114642	1.83742e-10	7152.84	6.23929e+06
nu	0.0158139	2.53497e-09	98651.6	6.2383e+06
124-2.whole.wo.indels.fasta.chr-1	4.67069e-05	6.88203e-12	316.99	6.78679e+06
131-4.whole.wo.indels.fasta.chr-1	2.52676e-05	3.68847e-12	173.094	6.85044e+06
132-2.whole.wo.indels.fasta.chr-1	3.34554e-06	4.81754e-13	23.2332	6.94451e+06
134-1.whole.wo.indels.fasta.chr-1	1.9101e-06	2.75068e-13	13.264	6.94412e+06
14-23s.whole.wo.indels.fasta.chr-1	0.000449961	7.6615e-11	2642.63	5.87302e+06
142-2.whole.wo.indels.fasta.chr-1	2.818e-06	4.05971e-13	19.5608	6.94138e+06
144-2.whole.wo.indels.fasta.chr-1	2.60901e-06	3.75636e-13	18.121	6.94558e+06
15-183s.whole.wo.indels.fasta.chr-1	6.54852e-05	9.64906e-12	444.427	6.78669e+06
15-186s.whole.wo.indels.fasta.chr-1	1.98767e-06	2.86157e-13	13.8065	6.94607e+06
15-19s.whole.wo.indels.fasta.chr-1	2.94345e-06	4.23837e-13	20.4416	6.94477e+06
15-1s.whole.wo.indels.fasta.chr-1	4.602e-05	6.75237e-12	313.644	6.81538e+06
15-20s.whole.wo.indels.fasta.chr-1	6.35422e-05	9.31182e-12	433.601	6.82383e+06
15-235s.whole.wo.indels.fasta.chr-1	9.07976e-05	1.36809e-11	602.606	6.6368e+06
15-43s.whole.wo.indels.fasta.chr-1	3.2026e-06	4.61587e-13	22.2205	6.93825e+06
151-3.whole.wo.indels.fasta.chr-1	3.6388e-06	5.2418e-13	25.2602	6.94189e+06
152-1.whole.wo.indels.fasta.chr-1	2.79026e-06	4.01655e-13	19.3837	6.9469e+06
152-3.whole.wo.indels.fasta.chr-1	3.26371e-06	4.69905e-13	22.668	6.94546e+06
152-4.whole.wo.indels.fasta.chr-1	3.02081e-06	4.35291e-13	20.9637	6.93976e+06
212-2.whole.wo.indels.fasta.chr-1	2.98514e-06	4.29906e-13	20.7279	6.9437e+06
213-1.whole.wo.indels.fasta.chr-1	2.63658e-06	3.79756e-13	18.3053	6.94282e+06
38-1.whole.wo.indels.fasta.chr-1	3.84971e-06	5.54123e-13	26.7454	6.94739e+06
45-1.whole.wo.indels.fasta.chr-1	3.28588e-06	4.73086e-13	22.8224	6.94562e+06
45-12.whole.wo.indels.fasta.chr-1	2.67214e-06	3.84787e-13	18.5566	6.94447e+06
45-13.whole.wo.indels.fasta.chr-1	3.28852e-06	4.73412e-13	22.8435	6.94643e+06
45-4.whole.wo.indels.fasta.chr-1	2.48528e-06	3.57877e-13	17.259	6.94451e+06
47-10.whole.wo.indels.fasta.chr-1	2.29828e-06	3.30807e-13	15.9673	6.9475e+06
54-1.whole.wo.indels.fasta.chr-1	9.63291e-05	1.45412e-11	638.137	6.62456e+06
54-10.whole.wo.indels.fasta.chr-1	3.60069e-05	5.26718e-12	246.146	6.83608e+06
736-1.whole.wo.indels.fasta.chr-1	8.83499e-05	1.3103e-11	595.717	6.74271e+06
As_615.whole.wo.indels.fasta.chr-1	3.93587e-06	5.66875e-13	27.3272	6.9431e+06
As_628.whole.wo.indels.fasta.chr-1	3.21263e-06	4.63265e-13	22.2788	6.93475e+06
As_676-1.whole.wo.indels.fasta.chr-1	8.86239e-05	1.3244e-11	593.037	6.69161e+06
As_687-1.whole.wo.indels.fasta.chr-1	2.86534e-06	4.1292e-13	19.8832	6.93922e+06
As_691-1.whole.wo.indels.fasta.chr-1	3.24426e-06	4.6721e-13	22.5278	6.9439e+06
As_692-1.whole.wo.indels.fasta.chr-1	4.14019e-06	5.96497e-13	28.7364	6.94084e+06
As_711-2.whole.wo.indels.fasta.chr-1	4.48983e-06	6.46468e-13	31.1827	6.94518e+06
As_720-3.whole.wo.indels.fasta.chr-1	4.43003e-06	6.38123e-13	30.7546	6.94229e+06
As_732-1.whole.wo.indels.fasta.chr-1	2.76063e-06	3.97834e-13	19.1564	6.93914e+06
As_737-1.whole.wo.indels.fasta.chr-1	4.03354e-06	5.80638e-13	28.0199	6.94673e+06
As_739-3.whole.wo.indels.fasta.chr-1	3.86942e-05	5.71747e-12	261.871	6.76771e+06
As_746-1.whole.wo.indels.fasta.chr-1	5.21297e-06	7.50793e-13	36.1951	6.94328e+06
As_749-3.whole.wo.indels.fasta.chr-1	2.27587e-05	3.31416e-12	156.286	6.86709e+06
