Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.591459	0.000116292	3008.14	5085.97
1/delta	0.000945773	2.97038e-10	3011.35	3.18401e+06
nu	0.0138805	4.3608e-09	44182	3.18302e+06
124-2.whole.wo.indels.fasta.chr-7	1.27345e-05	4.99554e-12	32.4624	2.54917e+06
131-4.whole.wo.indels.fasta.chr-7	1.43729e-05	5.70283e-12	36.2243	2.52031e+06
132-2.whole.wo.indels.fasta.chr-7	4.83736e-06	1.8963e-12	12.3398	2.55095e+06
134-1.whole.wo.indels.fasta.chr-7	3.83828e-06	1.50358e-12	9.79818	2.55276e+06
14-23s.whole.wo.indels.fasta.chr-7	0.000627466	3.3892e-10	1161.67	1.85137e+06
142-2.whole.wo.indels.fasta.chr-7	2.69906e-06	1.05853e-12	6.88207	2.54981e+06
144-2.whole.wo.indels.fasta.chr-7	5.454e-06	2.13882e-12	13.9077	2.55e+06
15-183s.whole.wo.indels.fasta.chr-7	5.07442e-05	2.08982e-11	123.215	2.42816e+06
15-186s.whole.wo.indels.fasta.chr-7	3.48171e-06	1.36654e-12	8.87083	2.54784e+06
15-19s.whole.wo.indels.fasta.chr-7	4.74695e-06	1.86081e-12	12.1095	2.55101e+06
15-1s.whole.wo.indels.fasta.chr-7	4.99143e-05	2.01825e-11	123.445	2.47315e+06
15-20s.whole.wo.indels.fasta.chr-7	5.72464e-05	2.32342e-11	141.049	2.46389e+06
15-235s.whole.wo.indels.fasta.chr-7	4.94733e-05	1.98658e-11	123.207	2.49038e+06
15-43s.whole.wo.indels.fasta.chr-7	4.91082e-06	1.93179e-12	12.4838	2.5421e+06
151-3.whole.wo.indels.fasta.chr-7	7.2351e-06	2.83183e-12	18.4851	2.55492e+06
152-1.whole.wo.indels.fasta.chr-7	6.14005e-06	2.41279e-12	15.6251	2.54479e+06
152-3.whole.wo.indels.fasta.chr-7	3.70771e-06	1.45803e-12	9.42855	2.54296e+06
152-4.whole.wo.indels.fasta.chr-7	4.63792e-06	1.82145e-12	11.8095	2.54629e+06
212-2.whole.wo.indels.fasta.chr-7	4.62798e-06	1.81823e-12	11.7797	2.54532e+06
213-1.whole.wo.indels.fasta.chr-7	5.32281e-06	2.08739e-12	13.5731	2.54998e+06
38-1.whole.wo.indels.fasta.chr-7	1.93335e-06	7.59188e-13	4.92347	2.5466e+06
45-1.whole.wo.indels.fasta.chr-7	5.54187e-06	2.17791e-12	14.1017	2.54458e+06
45-12.whole.wo.indels.fasta.chr-7	4.35234e-06	1.71018e-12	11.0765	2.54496e+06
45-13.whole.wo.indels.fasta.chr-7	3.59111e-06	1.41135e-12	9.13739	2.54444e+06
45-4.whole.wo.indels.fasta.chr-7	3.89419e-06	1.52584e-12	9.93859	2.55216e+06
47-10.whole.wo.indels.fasta.chr-7	1.77933e-06	6.98217e-13	4.5344	2.54838e+06
54-1.whole.wo.indels.fasta.chr-7	7.05203e-05	2.84501e-11	174.801	2.47873e+06
54-10.whole.wo.indels.fasta.chr-7	4.24032e-05	1.71972e-11	104.553	2.4657e+06
736-1.whole.wo.indels.fasta.chr-7	0.000104819	4.22955e-11	259.766	2.47824e+06
As_615.whole.wo.indels.fasta.chr-7	5.46989e-06	2.14442e-12	13.9523	2.55075e+06
As_628.whole.wo.indels.fasta.chr-7	5.04083e-06	1.9777e-12	12.8483	2.54884e+06
As_676-1.whole.wo.indels.fasta.chr-7	2.01121e-05	8.07923e-12	50.0663	2.48936e+06
As_687-1.whole.wo.indels.fasta.chr-7	5.77136e-06	2.26317e-12	14.7177	2.55013e+06
As_691-1.whole.wo.indels.fasta.chr-7	5.01629e-06	1.96721e-12	12.7913	2.54995e+06
As_692-1.whole.wo.indels.fasta.chr-7	4.49508e-06	1.76279e-12	11.4624	2.54998e+06
As_711-2.whole.wo.indels.fasta.chr-7	3.75677e-06	1.47485e-12	9.56933	2.54722e+06
As_720-3.whole.wo.indels.fasta.chr-7	4.35957e-06	1.71183e-12	11.1027	2.54673e+06
As_732-1.whole.wo.indels.fasta.chr-7	6.3658e-06	2.49504e-12	16.2416	2.55139e+06
As_737-1.whole.wo.indels.fasta.chr-7	3.35025e-06	1.31573e-12	8.5308	2.54632e+06
As_739-3.whole.wo.indels.fasta.chr-7	3.61276e-05	1.43688e-11	90.8362	2.51432e+06
As_746-1.whole.wo.indels.fasta.chr-7	5.96166e-06	2.33598e-12	15.2148	2.5521e+06
As_749-3.whole.wo.indels.fasta.chr-7	2.37299e-05	9.63138e-12	58.4659	2.46381e+06
As_754-2.whole.wo.indels.fasta.chr-7	7.4059e-06	2.90814e-12	18.8599	2.54661e+06
As_774-1.whole.wo.indels.fasta.chr-7	4.15749e-06	1.63015e-12	10.6031	2.55037e+06
As_CONR4D.whole.wo.indels.fasta.chr-7	9.49205e-06	3.71879e-12	24.228	2.55245e+06
As_CONRI4.whole.wo.indels.fasta.chr-7	6.92436e-06	2.7193e-12	17.632	2.54638e+06
As_OONR2J.whole.wo.indels.fasta.chr-7	4.70023e-06	1.84443e-12	11.9778	2.54834e+06
As_T2R3B.whole.wo.indels.fasta.chr-7	7.10382e-06	2.79405e-12	18.0613	2.54248e+06
NODE_49	3.63308e-05	1.46544e-11	90.0708	2.47918e+06
NODE_50	1.5422e-05	6.0748e-12	39.1514	2.53868e+06
NODE_51	1.26613e-06	4.95642e-13	3.23436	2.55452e+06
NODE_52	1.15102e-06	4.50386e-13	2.94161	2.55564e+06
NODE_53	3.4405e-06	1.34715e-12	8.78674	2.55391e+06
