Node	Beg	End
124-2.whole.wo.indels.fasta.chr-7	113693	113831
124-2.whole.wo.indels.fasta.chr-7	115100	115140
124-2.whole.wo.indels.fasta.chr-7	847463	848712
124-2.whole.wo.indels.fasta.chr-7	852185	852645
124-2.whole.wo.indels.fasta.chr-7	894205	894888
124-2.whole.wo.indels.fasta.chr-7	2416308	2418285
124-2.whole.wo.indels.fasta.chr-7	2442187	2442835
131-4.whole.wo.indels.fasta.chr-7	20970	25762
131-4.whole.wo.indels.fasta.chr-7	27577	28504
131-4.whole.wo.indels.fasta.chr-7	35571	39123
131-4.whole.wo.indels.fasta.chr-7	94831	95447
131-4.whole.wo.indels.fasta.chr-7	108448	117520
131-4.whole.wo.indels.fasta.chr-7	127691	128045
131-4.whole.wo.indels.fasta.chr-7	131797	134118
131-4.whole.wo.indels.fasta.chr-7	847394	854245
131-4.whole.wo.indels.fasta.chr-7	877825	878767
131-4.whole.wo.indels.fasta.chr-7	2415930	2416897
131-4.whole.wo.indels.fasta.chr-7	2436353	2436473
131-4.whole.wo.indels.fasta.chr-7	2442021	2449219
132-2.whole.wo.indels.fasta.chr-7	34416	34470
132-2.whole.wo.indels.fasta.chr-7	114890	115140
132-2.whole.wo.indels.fasta.chr-7	2397080	2397280
132-2.whole.wo.indels.fasta.chr-7	2398809	2398820
132-2.whole.wo.indels.fasta.chr-7	2415473	2418524
132-2.whole.wo.indels.fasta.chr-7	2442021	2443847
134-1.whole.wo.indels.fasta.chr-7	851061	852318
134-1.whole.wo.indels.fasta.chr-7	893541	893588
134-1.whole.wo.indels.fasta.chr-7	2416753	2418281
134-1.whole.wo.indels.fasta.chr-7	2442852	2443240
14-23s.whole.wo.indels.fasta.chr-7	2045	3983
14-23s.whole.wo.indels.fasta.chr-7	19924	24545
14-23s.whole.wo.indels.fasta.chr-7	27428	29389
14-23s.whole.wo.indels.fasta.chr-7	35883	39338
14-23s.whole.wo.indels.fasta.chr-7	45226	46121
14-23s.whole.wo.indels.fasta.chr-7	95084	96974
14-23s.whole.wo.indels.fasta.chr-7	101814	139425
14-23s.whole.wo.indels.fasta.chr-7	143115	150416
14-23s.whole.wo.indels.fasta.chr-7	157736	158785
14-23s.whole.wo.indels.fasta.chr-7	161986	162509
14-23s.whole.wo.indels.fasta.chr-7	163877	166664
14-23s.whole.wo.indels.fasta.chr-7	167897	177742
14-23s.whole.wo.indels.fasta.chr-7	188241	190243
14-23s.whole.wo.indels.fasta.chr-7	192133	197085
14-23s.whole.wo.indels.fasta.chr-7	198939	205685
14-23s.whole.wo.indels.fasta.chr-7	208239	222638
14-23s.whole.wo.indels.fasta.chr-7	224451	237619
14-23s.whole.wo.indels.fasta.chr-7	239189	248868
14-23s.whole.wo.indels.fasta.chr-7	254805	261034
14-23s.whole.wo.indels.fasta.chr-7	264834	269162
14-23s.whole.wo.indels.fasta.chr-7	270244	283985
14-23s.whole.wo.indels.fasta.chr-7	292090	296001
14-23s.whole.wo.indels.fasta.chr-7	307251	308867
14-23s.whole.wo.indels.fasta.chr-7	319550	331773
14-23s.whole.wo.indels.fasta.chr-7	332973	341472
14-23s.whole.wo.indels.fasta.chr-7	343535	370002
14-23s.whole.wo.indels.fasta.chr-7	373619	378446
14-23s.whole.wo.indels.fasta.chr-7	383416	386244
14-23s.whole.wo.indels.fasta.chr-7	389678	396932
14-23s.whole.wo.indels.fasta.chr-7	399316	401126
14-23s.whole.wo.indels.fasta.chr-7	402730	405659
14-23s.whole.wo.indels.fasta.chr-7	407696	408288
14-23s.whole.wo.indels.fasta.chr-7	410660	422450
14-23s.whole.wo.indels.fasta.chr-7	425838	429767
14-23s.whole.wo.indels.fasta.chr-7	434111	438856
14-23s.whole.wo.indels.fasta.chr-7	445740	454358
14-23s.whole.wo.indels.fasta.chr-7	455643	476926
14-23s.whole.wo.indels.fasta.chr-7	479966	483765
14-23s.whole.wo.indels.fasta.chr-7	491335	494413
14-23s.whole.wo.indels.fasta.chr-7	496039	497593
14-23s.whole.wo.indels.fasta.chr-7	504040	512035
14-23s.whole.wo.indels.fasta.chr-7	538984	541790
14-23s.whole.wo.indels.fasta.chr-7	554147	556157
14-23s.whole.wo.indels.fasta.chr-7	560981	562321
14-23s.whole.wo.indels.fasta.chr-7	598190	607117
14-23s.whole.wo.indels.fasta.chr-7	612965	613549
14-23s.whole.wo.indels.fasta.chr-7	619896	628592
14-23s.whole.wo.indels.fasta.chr-7	674463	674821
14-23s.whole.wo.indels.fasta.chr-7	680587	680992
14-23s.whole.wo.indels.fasta.chr-7	687671	689282
14-23s.whole.wo.indels.fasta.chr-7	698879	713165
14-23s.whole.wo.indels.fasta.chr-7	715603	728332
14-23s.whole.wo.indels.fasta.chr-7	729923	738394
14-23s.whole.wo.indels.fasta.chr-7	741885	742532
14-23s.whole.wo.indels.fasta.chr-7	755873	765480
14-23s.whole.wo.indels.fasta.chr-7	769497	771944
14-23s.whole.wo.indels.fasta.chr-7	778519	782357
14-23s.whole.wo.indels.fasta.chr-7	797397	803937
14-23s.whole.wo.indels.fasta.chr-7	846973	860008
14-23s.whole.wo.indels.fasta.chr-7	861120	870189
14-23s.whole.wo.indels.fasta.chr-7	872041	874559
14-23s.whole.wo.indels.fasta.chr-7	883090	884580
14-23s.whole.wo.indels.fasta.chr-7	885727	904325
14-23s.whole.wo.indels.fasta.chr-7	905482	907958
14-23s.whole.wo.indels.fasta.chr-7	981984	985980
14-23s.whole.wo.indels.fasta.chr-7	987354	993710
14-23s.whole.wo.indels.fasta.chr-7	1003500	1006409
14-23s.whole.wo.indels.fasta.chr-7	1031105	1032951
14-23s.whole.wo.indels.fasta.chr-7	1035458	1041221
14-23s.whole.wo.indels.fasta.chr-7	1042997	1073199
14-23s.whole.wo.indels.fasta.chr-7	1077516	1080949
14-23s.whole.wo.indels.fasta.chr-7	1083764	1084158
14-23s.whole.wo.indels.fasta.chr-7	1120806	1124563
14-23s.whole.wo.indels.fasta.chr-7	1131173	1135770
14-23s.whole.wo.indels.fasta.chr-7	1172340	1197118
14-23s.whole.wo.indels.fasta.chr-7	1202496	1203425
14-23s.whole.wo.indels.fasta.chr-7	1225325	1228010
14-23s.whole.wo.indels.fasta.chr-7	1231928	1234746
14-23s.whole.wo.indels.fasta.chr-7	1236791	1242985
14-23s.whole.wo.indels.fasta.chr-7	1249702	1250110
14-23s.whole.wo.indels.fasta.chr-7	1324570	1325714
14-23s.whole.wo.indels.fasta.chr-7	1881581	1882798
14-23s.whole.wo.indels.fasta.chr-7	1884958	1886573
14-23s.whole.wo.indels.fasta.chr-7	1901480	1910675
14-23s.whole.wo.indels.fasta.chr-7	1912681	1913148
14-23s.whole.wo.indels.fasta.chr-7	1914671	1923746
14-23s.whole.wo.indels.fasta.chr-7	1932675	1933222
14-23s.whole.wo.indels.fasta.chr-7	1953260	1954443
14-23s.whole.wo.indels.fasta.chr-7	1962767	1965551
14-23s.whole.wo.indels.fasta.chr-7	1975340	1975969
14-23s.whole.wo.indels.fasta.chr-7	1991564	1992621
14-23s.whole.wo.indels.fasta.chr-7	1993929	1996522
14-23s.whole.wo.indels.fasta.chr-7	2010244	2011912
14-23s.whole.wo.indels.fasta.chr-7	2030654	2035895
14-23s.whole.wo.indels.fasta.chr-7	2040100	2041315
14-23s.whole.wo.indels.fasta.chr-7	2045209	2045568
14-23s.whole.wo.indels.fasta.chr-7	2048671	2051881
14-23s.whole.wo.indels.fasta.chr-7	2053712	2054803
14-23s.whole.wo.indels.fasta.chr-7	2056222	2057411
14-23s.whole.wo.indels.fasta.chr-7	2077178	2077743
14-23s.whole.wo.indels.fasta.chr-7	2081746	2082446
14-23s.whole.wo.indels.fasta.chr-7	2084509	2086284
14-23s.whole.wo.indels.fasta.chr-7	2104462	2108114
14-23s.whole.wo.indels.fasta.chr-7	2110533	2114996
14-23s.whole.wo.indels.fasta.chr-7	2122994	2131034
14-23s.whole.wo.indels.fasta.chr-7	2135946	2140283
14-23s.whole.wo.indels.fasta.chr-7	2142749	2150392
14-23s.whole.wo.indels.fasta.chr-7	2155661	2159940
14-23s.whole.wo.indels.fasta.chr-7	2162143	2162770
14-23s.whole.wo.indels.fasta.chr-7	2165829	2170040
14-23s.whole.wo.indels.fasta.chr-7	2172091	2173126
14-23s.whole.wo.indels.fasta.chr-7	2175930	2186090
14-23s.whole.wo.indels.fasta.chr-7	2187975	2189988
14-23s.whole.wo.indels.fasta.chr-7	2207636	2208498
14-23s.whole.wo.indels.fasta.chr-7	2214942	2215820
14-23s.whole.wo.indels.fasta.chr-7	2229874	2231430
14-23s.whole.wo.indels.fasta.chr-7	2235386	2244309
14-23s.whole.wo.indels.fasta.chr-7	2246480	2250141
14-23s.whole.wo.indels.fasta.chr-7	2256117	2257400
14-23s.whole.wo.indels.fasta.chr-7	2260497	2264061
14-23s.whole.wo.indels.fasta.chr-7	2271573	2278689
14-23s.whole.wo.indels.fasta.chr-7	2283247	2288801
14-23s.whole.wo.indels.fasta.chr-7	2298399	2301295
14-23s.whole.wo.indels.fasta.chr-7	2303473	2306492
14-23s.whole.wo.indels.fasta.chr-7	2309596	2309944
14-23s.whole.wo.indels.fasta.chr-7	2320119	2321629
14-23s.whole.wo.indels.fasta.chr-7	2325538	2327293
14-23s.whole.wo.indels.fasta.chr-7	2356955	2360049
14-23s.whole.wo.indels.fasta.chr-7	2365137	2373781
14-23s.whole.wo.indels.fasta.chr-7	2376273	2376732
14-23s.whole.wo.indels.fasta.chr-7	2388257	2450435
14-23s.whole.wo.indels.fasta.chr-7	2456251	2456964
14-23s.whole.wo.indels.fasta.chr-7	2475224	2476001
14-23s.whole.wo.indels.fasta.chr-7	2479354	2482925
14-23s.whole.wo.indels.fasta.chr-7	2488629	2494857
14-23s.whole.wo.indels.fasta.chr-7	2512290	2514314
14-23s.whole.wo.indels.fasta.chr-7	2517652	2520008
14-23s.whole.wo.indels.fasta.chr-7	2543031	2545739
142-2.whole.wo.indels.fasta.chr-7	34692	34751
142-2.whole.wo.indels.fasta.chr-7	113513	114906
142-2.whole.wo.indels.fasta.chr-7	847781	848947
142-2.whole.wo.indels.fasta.chr-7	2413333	2413691
142-2.whole.wo.indels.fasta.chr-7	2417025	2418395
142-2.whole.wo.indels.fasta.chr-7	2436362	2436591
142-2.whole.wo.indels.fasta.chr-7	2442717	2443539
142-2.whole.wo.indels.fasta.chr-7	2448581	2449317
144-2.whole.wo.indels.fasta.chr-7	114821	115123
144-2.whole.wo.indels.fasta.chr-7	2412284	2413316
144-2.whole.wo.indels.fasta.chr-7	2415240	2416437
144-2.whole.wo.indels.fasta.chr-7	2417782	2418524
144-2.whole.wo.indels.fasta.chr-7	2442811	2443299
144-2.whole.wo.indels.fasta.chr-7	2544987	2545044
15-183s.whole.wo.indels.fasta.chr-7	1	936
15-183s.whole.wo.indels.fasta.chr-7	20624	26099
15-183s.whole.wo.indels.fasta.chr-7	27326	29235
15-183s.whole.wo.indels.fasta.chr-7	32604	33407
15-183s.whole.wo.indels.fasta.chr-7	34889	39123
15-183s.whole.wo.indels.fasta.chr-7	226120	229609
15-183s.whole.wo.indels.fasta.chr-7	237783	238328
15-183s.whole.wo.indels.fasta.chr-7	847373	870250
15-183s.whole.wo.indels.fasta.chr-7	871496	872618
15-183s.whole.wo.indels.fasta.chr-7	887077	887409
15-183s.whole.wo.indels.fasta.chr-7	890130	902668
15-183s.whole.wo.indels.fasta.chr-7	905228	906295
15-183s.whole.wo.indels.fasta.chr-7	909318	909545
15-183s.whole.wo.indels.fasta.chr-7	1250526	1252043
15-183s.whole.wo.indels.fasta.chr-7	1337069	1340454
15-183s.whole.wo.indels.fasta.chr-7	1958758	1962903
15-183s.whole.wo.indels.fasta.chr-7	2041851	2044620
15-183s.whole.wo.indels.fasta.chr-7	2169091	2169869
15-183s.whole.wo.indels.fasta.chr-7	2175322	2175497
15-183s.whole.wo.indels.fasta.chr-7	2389205	2457225
15-183s.whole.wo.indels.fasta.chr-7	2542908	2545044
15-186s.whole.wo.indels.fasta.chr-7	113723	113772
15-186s.whole.wo.indels.fasta.chr-7	847873	847902
15-186s.whole.wo.indels.fasta.chr-7	850892	851797
15-186s.whole.wo.indels.fasta.chr-7	898539	898586
15-186s.whole.wo.indels.fasta.chr-7	2412465	2412495
15-186s.whole.wo.indels.fasta.chr-7	2414463	2415827
15-186s.whole.wo.indels.fasta.chr-7	2417941	2418395
15-186s.whole.wo.indels.fasta.chr-7	2436719	2436799
15-186s.whole.wo.indels.fasta.chr-7	2442154	2448985
15-19s.whole.wo.indels.fasta.chr-7	29085	29742
15-19s.whole.wo.indels.fasta.chr-7	2415192	2417698
15-19s.whole.wo.indels.fasta.chr-7	2420560	2420729
15-19s.whole.wo.indels.fasta.chr-7	2444598	2444630
15-1s.whole.wo.indels.fasta.chr-7	535	672
15-1s.whole.wo.indels.fasta.chr-7	7662	8384
15-1s.whole.wo.indels.fasta.chr-7	19924	23717
15-1s.whole.wo.indels.fasta.chr-7	32893	33609
15-1s.whole.wo.indels.fasta.chr-7	35634	40079
15-1s.whole.wo.indels.fasta.chr-7	110129	110779
15-1s.whole.wo.indels.fasta.chr-7	112542	117926
15-1s.whole.wo.indels.fasta.chr-7	130118	131610
15-1s.whole.wo.indels.fasta.chr-7	138818	139314
15-1s.whole.wo.indels.fasta.chr-7	225852	230043
15-1s.whole.wo.indels.fasta.chr-7	237783	239065
15-1s.whole.wo.indels.fasta.chr-7	390009	390196
15-1s.whole.wo.indels.fasta.chr-7	611633	614145
15-1s.whole.wo.indels.fasta.chr-7	847459	854373
15-1s.whole.wo.indels.fasta.chr-7	863170	863284
15-1s.whole.wo.indels.fasta.chr-7	873796	874009
15-1s.whole.wo.indels.fasta.chr-7	877057	877850
15-1s.whole.wo.indels.fasta.chr-7	1010544	1019828
15-1s.whole.wo.indels.fasta.chr-7	1025383	1028195
15-1s.whole.wo.indels.fasta.chr-7	1032195	1032949
15-1s.whole.wo.indels.fasta.chr-7	1035115	1039194
15-1s.whole.wo.indels.fasta.chr-7	1120638	1123590
15-1s.whole.wo.indels.fasta.chr-7	1130815	1134758
15-1s.whole.wo.indels.fasta.chr-7	2230035	2233886
15-1s.whole.wo.indels.fasta.chr-7	2322632	2328981
15-1s.whole.wo.indels.fasta.chr-7	2405927	2406326
15-1s.whole.wo.indels.fasta.chr-7	2412675	2416344
15-1s.whole.wo.indels.fasta.chr-7	2422613	2423025
15-1s.whole.wo.indels.fasta.chr-7	2434305	2434422
15-1s.whole.wo.indels.fasta.chr-7	2442121	2446154
15-1s.whole.wo.indels.fasta.chr-7	2447838	2449291
15-1s.whole.wo.indels.fasta.chr-7	2542908	2544988
15-20s.whole.wo.indels.fasta.chr-7	113431	113609
15-20s.whole.wo.indels.fasta.chr-7	116916	117142
15-20s.whole.wo.indels.fasta.chr-7	847394	854299
15-20s.whole.wo.indels.fasta.chr-7	877714	878086
15-20s.whole.wo.indels.fasta.chr-7	1032195	1032949
15-20s.whole.wo.indels.fasta.chr-7	1035115	1039194
15-20s.whole.wo.indels.fasta.chr-7	1845722	1863201
15-20s.whole.wo.indels.fasta.chr-7	1868026	1870578
