# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:100000,num_iter:1000000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:18109,num_snp_partitions:4,num_samps:1000
left_snp right_snp mean p0.025 p0.500 p0.975
198 217 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
217 253 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
253 266 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
266 267 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
267 293 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
293 301 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
301 302 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
302 306 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
306 322 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
322 344 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
344 350 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
350 380 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
380 896 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
896 1012 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1012 1018 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1018 1022 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1022 1027 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1027 1043 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1043 1048 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1048 1049 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1049 1057 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1057 1060 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1060 1249 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1249 1268 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1268 1295 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1295 1312 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1312 1321 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1321 1343 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1343 1370 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1370 1379 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1379 1385 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1385 1397 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1397 1670 3.6462e-02 3.0514e-02 3.6391e-02 4.3557e-02
1670 1730 3.6060e-02 3.0072e-02 3.6323e-02 4.3557e-02
1730 1763 6.5348e-05 5.8120e-05 6.5046e-05 7.1787e-05
1763 2849 6.5348e-05 5.8120e-05 6.5046e-05 7.1787e-05
