# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:100000,num_iter:1000000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:25328,num_snp_partitions:6,num_samps:1000
left_snp right_snp mean p0.025 p0.500 p0.975
150 210 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
210 291 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
291 294 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
294 379 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
379 398 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
398 435 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
435 455 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
455 478 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
478 479 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
479 534 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
534 565 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
565 574 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
574 625 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
625 643 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
643 671 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
671 871 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
871 911 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
911 922 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
922 935 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
935 973 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
973 1660 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
1660 2044 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
2044 2090 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
2090 2122 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
2122 2152 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
2152 2246 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
2246 2351 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
2351 2359 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
2359 2377 4.6915e-06 1.8075e-07 4.6107e-06 1.0680e-05
