Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.439733	9.18266e-05	2105.76	4788.73
1/delta	0.00101596	4.90167e-10	2105.78	2.07269e+06
nu	0.0172052	8.30489e-09	35644.1	2.0717e+06
124-2.whole.wo.indels.fasta.chr-9	2.24862e-05	9.75954e-12	51.8087	2.30402e+06
131-4.whole.wo.indels.fasta.chr-9	2.03629e-05	8.84941e-12	46.8561	2.30105e+06
132-2.whole.wo.indels.fasta.chr-9	2.12136e-06	9.14753e-13	4.91954	2.31905e+06
134-1.whole.wo.indels.fasta.chr-9	1.7039e-06	7.34877e-13	3.95069	2.31862e+06
14-23s.whole.wo.indels.fasta.chr-9	0.00117856	6.95478e-10	1997.18	1.6946e+06
142-2.whole.wo.indels.fasta.chr-9	4.3217e-07	1.86355e-13	1.00223	2.31907e+06
144-2.whole.wo.indels.fasta.chr-9	8.52534e-07	3.67602e-13	1.97718	2.31918e+06
15-183s.whole.wo.indels.fasta.chr-9	2.71924e-05	1.21931e-11	60.6433	2.23016e+06
15-186s.whole.wo.indels.fasta.chr-9	2.9712e-06	1.28123e-12	6.89025	2.31902e+06
15-1s.whole.wo.indels.fasta.chr-9	2.08817e-05	9.20903e-12	47.3498	2.26753e+06
15-20s.whole.wo.indels.fasta.chr-9	9.19769e-05	4.16521e-11	203.105	2.20822e+06
15-235s.whole.wo.indels.fasta.chr-9	5.86959e-05	2.57945e-11	133.564	2.27552e+06
15-43s.whole.wo.indels.fasta.chr-9	1.69896e-06	7.33499e-13	3.93521	2.31624e+06
151-3.whole.wo.indels.fasta.chr-9	8.52832e-07	3.67757e-13	1.97773	2.31901e+06
152-1.whole.wo.indels.fasta.chr-9	1.26437e-06	5.45184e-13	2.93228	2.31916e+06
152-3.whole.wo.indels.fasta.chr-9	1.27424e-06	5.49436e-13	2.95518	2.31917e+06
152-4.whole.wo.indels.fasta.chr-9	1.56859e-06	6.76526e-13	3.63691	2.31859e+06
212-2.whole.wo.indels.fasta.chr-9	1.66642e-06	7.18726e-13	3.86372	2.31858e+06
213-1.whole.wo.indels.fasta.chr-9	1.28689e-06	5.55109e-13	2.98334	2.31826e+06
38-1.whole.wo.indels.fasta.chr-9	1.10225e-06	4.75592e-13	2.55459	2.31763e+06
45-1.whole.wo.indels.fasta.chr-9	1.69566e-06	7.3115e-13	3.93252	2.31917e+06
45-13.whole.wo.indels.fasta.chr-9	3.39851e-06	1.4656e-12	7.88063	2.31885e+06
45-4.whole.wo.indels.fasta.chr-9	2.67417e-06	1.1535e-12	6.19956	2.31831e+06
47-10.whole.wo.indels.fasta.chr-9	1.92423e-06	8.30505e-13	4.45834	2.31694e+06
54-1.whole.wo.indels.fasta.chr-9	7.21586e-05	3.17357e-11	164.07	2.27374e+06
54-10.whole.wo.indels.fasta.chr-9	2.18e-06	9.42147e-13	5.04421	2.31386e+06
736-1.whole.wo.indels.fasta.chr-9	4.45854e-05	1.97889e-11	100.453	2.25305e+06
As_615.whole.wo.indels.fasta.chr-9	8.52782e-07	3.67709e-13	1.97775	2.31918e+06
As_628.whole.wo.indels.fasta.chr-9	1.27407e-06	5.49362e-13	2.95478	2.31917e+06
As_676-1.whole.wo.indels.fasta.chr-9	3.49269e-06	1.50961e-12	8.0808	2.31363e+06
As_687-1.whole.wo.indels.fasta.chr-9	8.52569e-07	3.67617e-13	1.97726	2.31918e+06
As_691-1.whole.wo.indels.fasta.chr-9	1.69542e-06	7.31047e-13	3.93197	2.31917e+06
As_692-1.whole.wo.indels.fasta.chr-9	4.32247e-07	1.86388e-13	1.00241	2.31907e+06
As_711-2.whole.wo.indels.fasta.chr-9	2.11667e-06	9.12685e-13	4.9089	2.31916e+06
As_720-3.whole.wo.indels.fasta.chr-9	1.69981e-06	7.33028e-13	3.94169	2.31889e+06
As_732-1.whole.wo.indels.fasta.chr-9	8.52489e-07	3.67583e-13	1.97707	2.31918e+06
As_737-1.whole.wo.indels.fasta.chr-9	3.67936e-06	1.58726e-12	8.52896	2.31806e+06
As_739-3.whole.wo.indels.fasta.chr-9	2.5827e-05	1.12898e-11	59.083	2.28764e+06
As_746-1.whole.wo.indels.fasta.chr-9	8.5272e-07	3.67682e-13	1.97761	2.31918e+06
As_749-3.whole.wo.indels.fasta.chr-9	5.07047e-06	2.18736e-12	11.7537	2.31807e+06
As_754-2.whole.wo.indels.fasta.chr-9	1.69536e-06	7.31019e-13	3.93181	2.31917e+06
