Node	Beg	End
124-2.whole.wo.indels.fasta.chr-9	1149544	1149561
124-2.whole.wo.indels.fasta.chr-9	1152768	1155867
124-2.whole.wo.indels.fasta.chr-9	1157669	1160036
124-2.whole.wo.indels.fasta.chr-9	1173717	1177893
124-2.whole.wo.indels.fasta.chr-9	1269524	1272712
124-2.whole.wo.indels.fasta.chr-9	1275924	1276132
124-2.whole.wo.indels.fasta.chr-9	1278789	1279012
124-2.whole.wo.indels.fasta.chr-9	1449732	1450445
124-2.whole.wo.indels.fasta.chr-9	1481055	1481591
124-2.whole.wo.indels.fasta.chr-9	2104079	2104186
124-2.whole.wo.indels.fasta.chr-9	2167961	2167983
131-4.whole.wo.indels.fasta.chr-9	203609	205802
131-4.whole.wo.indels.fasta.chr-9	208093	209974
131-4.whole.wo.indels.fasta.chr-9	222281	222665
131-4.whole.wo.indels.fasta.chr-9	224036	227561
131-4.whole.wo.indels.fasta.chr-9	256510	257713
131-4.whole.wo.indels.fasta.chr-9	274463	274908
131-4.whole.wo.indels.fasta.chr-9	283664	283763
131-4.whole.wo.indels.fasta.chr-9	416613	417280
131-4.whole.wo.indels.fasta.chr-9	880888	881204
131-4.whole.wo.indels.fasta.chr-9	1302572	1303355
131-4.whole.wo.indels.fasta.chr-9	1306465	1308845
131-4.whole.wo.indels.fasta.chr-9	1309968	1312514
131-4.whole.wo.indels.fasta.chr-9	1314342	1315870
134-1.whole.wo.indels.fasta.chr-9	594738	594957
14-23s.whole.wo.indels.fasta.chr-9	33967	36225
14-23s.whole.wo.indels.fasta.chr-9	38663	40120
14-23s.whole.wo.indels.fasta.chr-9	59763	60486
14-23s.whole.wo.indels.fasta.chr-9	61485	62322
14-23s.whole.wo.indels.fasta.chr-9	65632	65854
14-23s.whole.wo.indels.fasta.chr-9	68917	71067
14-23s.whole.wo.indels.fasta.chr-9	73654	81564
14-23s.whole.wo.indels.fasta.chr-9	84660	88440
14-23s.whole.wo.indels.fasta.chr-9	90044	93066
14-23s.whole.wo.indels.fasta.chr-9	95795	96774
14-23s.whole.wo.indels.fasta.chr-9	104348	104546
14-23s.whole.wo.indels.fasta.chr-9	129031	130032
