Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.457693	7.32153e-05	2861.19	6251.33
1/delta	0.000800863	2.24241e-10	2860.24	3.57145e+06
nu	0.0127404	3.56827e-09	45488.9	3.57046e+06
124-2.whole.wo.indels.fasta.chr-2	2.62846e-05	5.23976e-12	131.854	5.01638e+06
131-4.whole.wo.indels.fasta.chr-2	1.3977e-05	2.77488e-12	70.4016	5.03697e+06
132-2.whole.wo.indels.fasta.chr-2	2.32553e-06	4.5917e-13	11.778	5.06464e+06
134-1.whole.wo.indels.fasta.chr-2	3.90817e-07	7.7088e-14	1.98134	5.06975e+06
14-23s.whole.wo.indels.fasta.chr-2	0.000180022	3.88563e-11	834.044	4.63302e+06
142-2.whole.wo.indels.fasta.chr-2	9.72779e-07	1.9186e-13	4.93225	5.07027e+06
144-2.whole.wo.indels.fasta.chr-2	1.39492e-06	2.7545e-13	7.06409	5.06415e+06
15-183s.whole.wo.indels.fasta.chr-2	5.32051e-05	1.07268e-11	263.899	4.96004e+06
15-186s.whole.wo.indels.fasta.chr-2	9.66632e-07	1.90613e-13	4.90195	5.07117e+06
15-19s.whole.wo.indels.fasta.chr-2	9.05654e-07	1.7878e-13	4.58781	5.06574e+06
15-1s.whole.wo.indels.fasta.chr-2	5.95835e-05	1.21431e-11	292.362	4.90677e+06
15-20s.whole.wo.indels.fasta.chr-2	2.59741e-05	5.21081e-12	129.472	4.98467e+06
15-235s.whole.wo.indels.fasta.chr-2	4.62679e-05	9.42279e-12	227.185	4.91021e+06
15-43s.whole.wo.indels.fasta.chr-2	1.5626e-06	3.08786e-13	7.90744	5.06045e+06
151-3.whole.wo.indels.fasta.chr-2	1.16014e-06	2.28747e-13	5.88391	5.07171e+06
152-1.whole.wo.indels.fasta.chr-2	9.74409e-07	1.92333e-13	4.93661	5.06626e+06
152-3.whole.wo.indels.fasta.chr-2	1.74482e-06	3.44165e-13	8.8457	5.0697e+06
152-4.whole.wo.indels.fasta.chr-2	1.62251e-06	3.20168e-13	8.22242	5.0677e+06
212-2.whole.wo.indels.fasta.chr-2	3.89791e-07	7.68939e-14	1.97593	5.06921e+06
213-1.whole.wo.indels.fasta.chr-2	1.29487e-06	2.55409e-13	6.56478	5.06982e+06
38-1.whole.wo.indels.fasta.chr-2	2.18743e-06	4.31312e-13	11.0937	5.07158e+06
45-1.whole.wo.indels.fasta.chr-2	1.33981e-06	2.64354e-13	6.79049	5.06825e+06
45-12.whole.wo.indels.fasta.chr-2	1.23572e-06	2.4379e-13	6.26358	5.06878e+06
45-13.whole.wo.indels.fasta.chr-2	7.7413e-07	1.52624e-13	3.92649	5.07213e+06
45-4.whole.wo.indels.fasta.chr-2	7.77192e-07	1.53277e-13	3.94075	5.0705e+06
47-10.whole.wo.indels.fasta.chr-2	9.68672e-07	1.91016e-13	4.9123	5.07117e+06
54-1.whole.wo.indels.fasta.chr-2	3.79993e-05	7.60009e-12	189.991	4.99986e+06
54-10.whole.wo.indels.fasta.chr-2	3.08557e-05	6.1984e-12	153.6	4.97801e+06
736-1.whole.wo.indels.fasta.chr-2	8.77942e-05	1.80511e-11	427	4.86364e+06
As_615.whole.wo.indels.fasta.chr-2	1.38493e-06	2.73346e-13	7.01684	5.06658e+06
As_628.whole.wo.indels.fasta.chr-2	1.51926e-06	2.99885e-13	7.69681	5.06615e+06
As_676-1.whole.wo.indels.fasta.chr-2	3.81865e-05	7.72642e-12	188.73	4.94233e+06
As_687-1.whole.wo.indels.fasta.chr-2	1.81413e-06	3.58493e-13	9.1803	5.06044e+06
As_691-1.whole.wo.indels.fasta.chr-2	1.23024e-06	2.43028e-13	6.22765	5.06214e+06
As_692-1.whole.wo.indels.fasta.chr-2	2.13309e-06	4.20881e-13	10.8108	5.06814e+06
As_711-2.whole.wo.indels.fasta.chr-2	7.96523e-07	1.57269e-13	4.03417	5.06472e+06
As_720-3.whole.wo.indels.fasta.chr-2	2.20115e-06	4.34495e-13	11.151	5.066e+06
As_732-1.whole.wo.indels.fasta.chr-2	2.09601e-06	4.13717e-13	10.619	5.0663e+06
As_737-1.whole.wo.indels.fasta.chr-2	1.43703e-06	2.83501e-13	7.28409	5.06886e+06
As_739-3.whole.wo.indels.fasta.chr-2	2.26572e-05	4.52396e-12	113.473	5.00825e+06
As_746-1.whole.wo.indels.fasta.chr-2	2.32415e-06	4.58486e-13	11.7816	5.06919e+06
