# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:100000,num_iter:1000000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:30940,num_snp_partitions:7,num_samps:1000
 left_snp right_snp mean p0.025 p0.500 p0.975
391 678 6.9519e-03 5.4373e-03 6.9061e-03 8.5987e-03
678 1125 6.9519e-03 5.4373e-03 6.9061e-03 8.5987e-03
1125 1134 5.0784e-03 9.1460e-07 6.5203e-03 8.4184e-03
1134 1154 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1154 1171 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1171 1189 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1189 1196 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1196 1225 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1225 1234 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1234 1237 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1237 1246 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1246 1258 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1258 1277 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1277 1279 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1279 1304 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1304 1311 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1311 1317 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1317 1338 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1338 1354 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1354 1357 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1357 1382 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1382 1386 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1386 1387 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1387 1393 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1393 1394 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1394 1399 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1399 1594 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1594 1604 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1604 1607 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1607 1609 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1609 1616 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1616 1617 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1617 1640 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1640 1643 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1643 1647 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1647 1667 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1667 1669 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1669 1682 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1682 1683 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1683 1693 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1693 1699 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1699 1701 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1701 1704 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1704 1709 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1709 1714 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1714 1725 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1725 1808 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1808 1819 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1819 1834 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1834 1869 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1869 1882 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1882 1886 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1886 1917 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1917 1951 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1951 1991 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
1991 2002 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2002 2046 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2046 2058 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2058 2060 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2060 2069 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2069 2072 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2072 2145 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2145 2155 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2155 2215 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2215 2218 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2218 2285 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2285 2305 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2305 2317 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2317 2327 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2327 2370 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2370 2396 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2396 2403 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2403 2420 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2420 2499 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2499 2513 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2513 2545 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2545 2550 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2550 2556 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2556 2609 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2609 2636 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2636 2650 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2650 2659 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2659 2660 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2660 2672 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2672 2685 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2685 2686 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2686 2726 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2726 2783 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2783 2830 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2830 2831 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2831 2872 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2872 2880 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2880 2930 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
2930 3033 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
3033 3045 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
3045 3188 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
3188 3203 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
3203 3206 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
3206 3209 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
3209 3224 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
3224 3233 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
3233 3238 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
3238 3260 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
3260 3284 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
3284 3287 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
3287 3290 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
3290 3296 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
3296 3311 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
3311 3323 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
3323 3329 7.2050e-06 4.6981e-07 7.2331e-06 1.7042e-05
