# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:100000,num_iter:1000000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:19865,num_snp_partitions:4,num_samps:1000
 left_snp right_snp mean p0.025 p0.500 p0.975
232 310 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
310 314 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
314 335 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
335 811 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
811 857 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
857 1004 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
1004 1501 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
1501 2299 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
2299 3534 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
3534 8834 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
8834 11598 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
11598 12252 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
12252 12699 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
12699 15816 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
15816 16578 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
16578 17373 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
17373 18662 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
18662 19527 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
19527 20603 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
20603 21247 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
21247 23346 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
23346 26471 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
26471 30724 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
30724 41223 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
41223 43985 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
43985 46967 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
46967 47327 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
47327 47639 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
47639 47813 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
47813 48855 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
48855 49094 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
49094 50118 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
50118 50949 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
50949 52092 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
52092 52858 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
52858 53781 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
53781 54635 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
54635 55642 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
55642 57303 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
57303 57612 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
57612 61068 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
61068 61376 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
61376 64701 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
64701 65036 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
65036 66245 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
66245 67138 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
67138 68702 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
68702 69416 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
69416 71594 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
71594 72900 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
72900 73729 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
73729 74259 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
74259 74263 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
74263 75289 1.2059e-04 7.9717e-05 9.9450e-05 1.8046e-04
75289 76348 1.2673e-03 1.6642e-04 1.6800e-03 2.1306e-03
76348 76486 1.2673e-03 1.6642e-04 1.6800e-03 2.1306e-03
76486 76534 1.2673e-03 1.6642e-04 1.6800e-03 2.1306e-03
76534 76536 8.3357e-04 3.4834e-05 1.7646e-04 2.0840e-03
76536 76737 8.6607e-05 3.4555e-05 3.6465e-05 1.8248e-04
76737 76785 7.8921e-05 3.4555e-05 3.6380e-05 1.7815e-04
76785 76809 6.1675e-05 3.4555e-05 3.6304e-05 1.7649e-04
76809 76812 4.9336e-05 3.4518e-05 3.6225e-05 1.7612e-04
76812 76840 3.6014e-05 3.4416e-05 3.6120e-05 3.6813e-05
76840 77183 3.6014e-05 3.4416e-05 3.6120e-05 3.6813e-05
77183 77263 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
77263 77420 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
77420 77557 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
77557 77728 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
77728 77731 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
77731 77800 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
77800 77815 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
77815 77818 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
77818 77852 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
77852 77892 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
77892 78040 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78040 78052 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78052 78055 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78055 78069 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78069 78197 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78197 78200 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78200 78202 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78202 78207 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78207 78211 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78211 78216 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78216 78238 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78238 78250 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78250 78256 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78256 78274 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78274 78283 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78283 78340 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78340 78343 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78343 78403 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78403 78418 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78418 78561 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78561 78562 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78562 78728 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78728 78740 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78740 78953 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78953 78955 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
78955 79027 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79027 79082 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79082 79129 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79129 79256 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79256 79305 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79305 79315 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79315 79318 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79318 79367 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79367 79388 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79388 79395 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79395 79423 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79423 79436 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79436 79478 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79478 79492 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79492 79586 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79586 79603 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79603 79611 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79611 79612 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79612 79616 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79616 79627 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79627 79657 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79657 79936 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
79936 80072 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
80072 80179 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
80179 80196 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
80196 80221 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
80221 80224 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
80224 80324 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
80324 80551 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
80551 80839 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
80839 80884 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
80884 80923 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
80923 80935 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
80935 80953 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
80953 80959 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
80959 80974 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
80974 80980 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
80980 81004 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81004 81013 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81013 81079 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81079 81103 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81103 81106 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81106 81117 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81117 81201 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81201 81202 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81202 81220 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81220 81229 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81229 81258 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81258 81284 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81284 81294 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81294 81330 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81330 81331 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81331 81346 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81346 81424 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81424 81445 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81445 81450 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81450 81458 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81458 81479 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81479 81497 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81497 81498 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
81498 81568 3.5874e-05 3.4416e-05 3.6114e-05 3.6810e-05
