Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.504676	8.15152e-05	3124.54	6191.19
1/delta	0.00138475	6.13651e-10	3124.81	2.25658e+06
nu	0.0227719	1.00957e-08	51364.1	2.25559e+06
124-2.whole.wo.indels.fasta.chr-4	1.67949e-05	5.90635e-12	47.757	2.84354e+06
131-4.whole.wo.indels.fasta.chr-4	2.13484e-05	7.47978e-12	60.9315	2.85415e+06
132-2.whole.wo.indels.fasta.chr-4	1.02589e-06	3.5675e-13	2.95009	2.87565e+06
134-1.whole.wo.indels.fasta.chr-4	1.02568e-06	3.56599e-13	2.95015	2.87628e+06
14-23s.whole.wo.indels.fasta.chr-4	0.000782649	3.52952e-10	1735.48	2.21744e+06
142-2.whole.wo.indels.fasta.chr-4	6.91216e-07	2.40338e-13	1.98795	2.87602e+06
144-2.whole.wo.indels.fasta.chr-4	6.85917e-07	2.38451e-13	1.97308	2.87655e+06
15-183s.whole.wo.indels.fasta.chr-4	3.42798e-05	1.19326e-11	98.4783	2.87278e+06
15-186s.whole.wo.indels.fasta.chr-4	1.3628e-06	4.73762e-13	3.92015	2.87654e+06
15-19s.whole.wo.indels.fasta.chr-4	3.48467e-07	1.21145e-13	1.00235	2.87644e+06
15-1s.whole.wo.indels.fasta.chr-4	3.84345e-06	1.33659e-12	11.0521	2.87556e+06
15-20s.whole.wo.indels.fasta.chr-4	6.05082e-05	2.14027e-11	171.065	2.82713e+06
15-235s.whole.wo.indels.fasta.chr-4	0.000155225	5.59104e-11	430.953	2.77631e+06
15-43s.whole.wo.indels.fasta.chr-4	3.48285e-07	1.21146e-13	1.00129	2.87492e+06
151-3.whole.wo.indels.fasta.chr-4	2.05724e-06	7.15367e-13	5.91619	2.87579e+06
152-1.whole.wo.indels.fasta.chr-4	6.8598e-07	2.38499e-13	1.97304	2.87623e+06
152-3.whole.wo.indels.fasta.chr-4	1.37438e-06	4.77871e-13	3.95278	2.87605e+06
152-4.whole.wo.indels.fasta.chr-4	2.01006e-06	6.98801e-13	5.78181	2.87644e+06
212-2.whole.wo.indels.fasta.chr-4	1.02696e-06	3.5704e-13	2.95385	2.87631e+06
213-1.whole.wo.indels.fasta.chr-4	1.70198e-06	5.91915e-13	4.89387	2.87539e+06
38-1.whole.wo.indels.fasta.chr-4	1.0283e-06	3.5752e-13	2.9576	2.8762e+06
45-1.whole.wo.indels.fasta.chr-4	2.03952e-06	7.09041e-13	5.86656	2.87644e+06
45-12.whole.wo.indels.fasta.chr-4	1.36477e-06	4.74499e-13	3.92539	2.87623e+06
45-13.whole.wo.indels.fasta.chr-4	1.37755e-06	4.79035e-13	3.96139	2.87568e+06
45-4.whole.wo.indels.fasta.chr-4	1.71598e-06	5.96659e-13	4.9351	2.87597e+06
47-10.whole.wo.indels.fasta.chr-4	6.86177e-07	2.38557e-13	1.9737	2.87637e+06
54-1.whole.wo.indels.fasta.chr-4	1.93764e-05	6.78429e-12	55.3403	2.85607e+06
54-10.whole.wo.indels.fasta.chr-4	7.87114e-05	2.81449e-11	220.128	2.79664e+06
736-1.whole.wo.indels.fasta.chr-4	7.6644e-05	2.73537e-11	214.753	2.80196e+06
As_615.whole.wo.indels.fasta.chr-4	1.05152e-06	3.6569e-13	3.02361	2.87545e+06
As_628.whole.wo.indels.fasta.chr-4	1.70671e-06	5.93558e-13	4.90746	2.87539e+06
As_676-1.whole.wo.indels.fasta.chr-4	7.50516e-05	2.67391e-11	210.656	2.80681e+06
As_687-1.whole.wo.indels.fasta.chr-4	1.36417e-06	4.74252e-13	3.92397	2.87646e+06
