Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.404825	5.82036e-05	2815.68	6955.32
1/delta	0.0014611	7.58169e-10	2815.75	1.92714e+06
nu	0.0221936	1.15222e-08	42748.3	1.92615e+06
124-2.whole.wo.indels.fasta.chr-6	3.02993e-05	1.18008e-11	77.7953	2.56756e+06
131-4.whole.wo.indels.fasta.chr-6	5.50445e-06	2.12012e-12	14.2912	2.59629e+06
132-2.whole.wo.indels.fasta.chr-6	4.72794e-06	1.819e-12	12.2888	2.5992e+06
134-1.whole.wo.indels.fasta.chr-6	1.13595e-06	4.36899e-13	2.95348	2.60002e+06
14-23s.whole.wo.indels.fasta.chr-6	0.00143085	7.14203e-10	2866.58	2.00342e+06
142-2.whole.wo.indels.fasta.chr-6	7.64309e-07	2.94033e-13	1.98674	2.5994e+06
144-2.whole.wo.indels.fasta.chr-6	2.65754e-06	1.02232e-12	6.90832	2.59952e+06
15-183s.whole.wo.indels.fasta.chr-6	6.20924e-05	2.45352e-11	157.14	2.53074e+06
15-186s.whole.wo.indels.fasta.chr-6	1.56612e-06	6.02425e-13	4.07144	2.5997e+06
15-19s.whole.wo.indels.fasta.chr-6	1.51222e-06	5.81736e-13	3.93099	2.59949e+06
15-1s.whole.wo.indels.fasta.chr-6	2.64988e-05	1.03243e-11	68.013	2.56664e+06
15-20s.whole.wo.indels.fasta.chr-6	4.38714e-05	1.70073e-11	113.17	2.57957e+06
15-235s.whole.wo.indels.fasta.chr-6	7.51516e-05	2.97966e-11	189.544	2.52216e+06
15-43s.whole.wo.indels.fasta.chr-6	2.31912e-06	8.92441e-13	6.0265	2.59862e+06
151-3.whole.wo.indels.fasta.chr-6	2.64017e-06	1.01582e-12	6.86192	2.59905e+06
152-1.whole.wo.indels.fasta.chr-6	1.89046e-06	7.2712e-13	4.91506	2.59993e+06
152-3.whole.wo.indels.fasta.chr-6	8.86903e-07	3.41271e-13	2.3049	2.59882e+06
152-4.whole.wo.indels.fasta.chr-6	1.51791e-06	5.83927e-13	3.94577	2.59948e+06
212-2.whole.wo.indels.fasta.chr-6	1.88763e-06	7.26074e-13	4.90739	2.59977e+06
213-1.whole.wo.indels.fasta.chr-6	1.13609e-06	4.36956e-13	2.95387	2.60002e+06
38-1.whole.wo.indels.fasta.chr-6	4.91543e-06	1.89086e-12	12.778	2.59957e+06
45-1.whole.wo.indels.fasta.chr-6	3.85678e-07	1.48342e-13	1.00273	2.59992e+06
45-13.whole.wo.indels.fasta.chr-6	1.88781e-06	7.26123e-13	4.90803	2.59985e+06
45-4.whole.wo.indels.fasta.chr-6	7.60398e-07	2.92458e-13	1.97705	2.60002e+06
47-10.whole.wo.indels.fasta.chr-6	2.2686e-06	8.7257e-13	5.89817	2.59991e+06
54-1.whole.wo.indels.fasta.chr-6	6.22007e-05	2.44548e-11	158.207	2.5435e+06
54-10.whole.wo.indels.fasta.chr-6	6.82587e-05	2.69768e-11	172.713	2.53027e+06
736-1.whole.wo.indels.fasta.chr-6	0.000124939	4.97427e-11	313.811	2.51171e+06
As_615.whole.wo.indels.fasta.chr-6	2.2916e-06	8.81597e-13	5.95674	2.59938e+06
As_628.whole.wo.indels.fasta.chr-6	6.32617e-06	2.43381e-12	16.4435	2.59929e+06
As_676-1.whole.wo.indels.fasta.chr-6	9.86347e-05	3.83859e-11	253.447	2.56955e+06
As_687-1.whole.wo.indels.fasta.chr-6	2.0232e-06	7.78372e-13	5.25882	2.59926e+06
As_691-1.whole.wo.indels.fasta.chr-6	3.70582e-06	1.42573e-12	9.63234	2.59925e+06
As_692-1.whole.wo.indels.fasta.chr-6	2.3871e-06	9.18715e-13	6.20242	2.59831e+06
As_711-2.whole.wo.indels.fasta.chr-6	4.69311e-07	1.80563e-13	1.21981	2.59915e+06
As_720-3.whole.wo.indels.fasta.chr-6	7.28097e-06	2.80327e-12	18.9109	2.59731e+06
As_732-1.whole.wo.indels.fasta.chr-6	3.02226e-06	1.16279e-12	7.85529	2.59914e+06
As_737-1.whole.wo.indels.fasta.chr-6	3.99622e-06	1.53778e-12	10.385	2.5987e+06
As_739-3.whole.wo.indels.fasta.chr-6	1.78623e-05	6.9287e-12	46.0494	2.57802e+06
As_746-1.whole.wo.indels.fasta.chr-6	3.48202e-06	1.33949e-12	9.05159	2.59952e+06
As_749-3.whole.wo.indels.fasta.chr-6	2.17972e-05	8.42114e-12	56.4197	2.58839e+06
As_754-2.whole.wo.indels.fasta.chr-6	2.95473e-06	1.13687e-12	7.67938	2.59901e+06
As_774-1.whole.wo.indels.fasta.chr-6	6.0995e-06	2.34738e-12	15.8491	2.59843e+06
As_CONR4D.whole.wo.indels.fasta.chr-6	4.72937e-06	1.81996e-12	12.2898	2.59861e+06
As_CONRI4.whole.wo.indels.fasta.chr-6	1.8876e-06	7.25995e-13	4.90778	2.60001e+06
As_OONR2J.whole.wo.indels.fasta.chr-6	4.89195e-06	1.88153e-12	12.719	2.59999e+06
As_T2R3B.whole.wo.indels.fasta.chr-6	4.60984e-06	1.77377e-12	11.9805	2.5989e+06
NODE_49	2.64882e-06	1.01898e-12	6.88555	2.59948e+06
NODE_50	3.56713e-05	1.42625e-11	89.2161	2.50106e+06
NODE_51	5.26904e-05	2.05075e-11	135.379	2.56932e+06
NODE_52	4.00876e-05	1.54943e-11	103.716	2.58724e+06
NODE_53	1.26358e-05	4.88524e-12	32.683	2.58653e+06
NODE_54	1.24675e-05	4.81102e-12	32.3086	2.59144e+06
NODE_55	2.6647e-06	1.02507e-12	6.92696	2.59953e+06
NODE_56	1.5123e-06	5.81697e-13	3.9317	2.59981e+06
NODE_57	7.60461e-07	2.92497e-13	1.97712	2.5999e+06
NODE_58	1.22041e-06	4.69444e-13	3.17272	2.5997e+06
NODE_59	7.64814e-07	2.94182e-13	1.98836	2.5998e+06
NODE_60	4.71023e-06	1.81667e-12	12.2126	2.59279e+06
NODE_61	7.16248e-06	2.75883e-12	18.5952	2.5962e+06
NODE_62	4.82223e-06	1.88561e-12	12.3323	2.55739e+06
NODE_63	1.71727e-05	6.67022e-12	44.2119	2.57454e+06
NODE_64	2.27883e-06	8.76785e-13	5.92285	2.59907e+06
NODE_65	5.10109e-05	1.99181e-11	130.641	2.56104e+06
NODE_66	1.13631e-06	4.37072e-13	2.95422	2.59983e+06
NODE_67	8.52389e-05	3.35549e-11	216.53	2.54028e+06
NODE_68	4.68587e-05	1.8384e-11	119.437	2.54888e+06
NODE_69	1.51981e-06	5.84568e-13	3.95132	2.59988e+06
NODE_70	1.88816e-06	7.26291e-13	4.90869	2.59972e+06
NODE_71	3.01671e-06	1.16081e-12	7.8398	2.59879e+06
NODE_72	2.59637e-05	1.00844e-11	66.847	2.57464e+06
NODE_73	3.40546e-05	1.32359e-11	87.6193	2.5729e+06
