Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.53948	0.000173093	1681.4	3116.7
1/delta	0.000588075	2.0562e-10	1681.9	2.86001e+06
nu	0.0138965	4.86057e-09	39730.2	2.85902e+06
124-2.whole.wo.indels.fasta.chr-8	3.69877e-05	1.50022e-11	91.1925	2.46548e+06
131-4.whole.wo.indels.fasta.chr-8	5.96442e-06	2.37623e-12	14.9709	2.51003e+06
132-2.whole.wo.indels.fasta.chr-8	3.21359e-06	1.27809e-12	8.08015	2.51437e+06
134-1.whole.wo.indels.fasta.chr-8	1.14231e-06	4.54543e-13	2.87073	2.51309e+06
14-23s.whole.wo.indels.fasta.chr-8	0.000214594	1.0506e-10	438.327	2.04259e+06
142-2.whole.wo.indels.fasta.chr-8	6.17804e-07	2.45658e-13	1.55371	2.51489e+06
144-2.whole.wo.indels.fasta.chr-8	3.53804e-06	1.40677e-12	8.89825	2.51502e+06
15-183s.whole.wo.indels.fasta.chr-8	2.57052e-05	1.0406e-11	63.4977	2.47023e+06
15-186s.whole.wo.indels.fasta.chr-8	2.44922e-06	9.72764e-13	6.16665	2.5178e+06
15-19s.whole.wo.indels.fasta.chr-8	3.50736e-06	1.39758e-12	8.80206	2.5096e+06
15-1s.whole.wo.indels.fasta.chr-8	2.42092e-05	9.76848e-12	59.9978	2.4783e+06
15-20s.whole.wo.indels.fasta.chr-8	5.69563e-05	2.38404e-11	136.072	2.38907e+06
15-235s.whole.wo.indels.fasta.chr-8	2.10284e-05	8.69919e-12	50.8316	2.41728e+06
15-43s.whole.wo.indels.fasta.chr-8	1.18457e-06	4.72048e-13	2.97257	2.50942e+06
151-3.whole.wo.indels.fasta.chr-8	3.19354e-06	1.2692e-12	8.03552	2.51618e+06
152-1.whole.wo.indels.fasta.chr-8	2.00451e-06	7.96402e-13	5.04527	2.51696e+06
152-3.whole.wo.indels.fasta.chr-8	1.56872e-06	6.23497e-13	3.94689	2.516e+06
152-4.whole.wo.indels.fasta.chr-8	2.19205e-06	8.7236e-13	5.50815	2.51278e+06
212-2.whole.wo.indels.fasta.chr-8	1.17907e-06	4.68464e-13	2.96757	2.51688e+06
213-1.whole.wo.indels.fasta.chr-8	2.3663e-06	9.402e-13	5.95554	2.51681e+06
38-1.whole.wo.indels.fasta.chr-8	1.17776e-06	4.68213e-13	2.96256	2.51543e+06
45-1.whole.wo.indels.fasta.chr-8	1.17871e-06	4.68912e-13	2.96292	2.5137e+06
45-12.whole.wo.indels.fasta.chr-8	1.56604e-06	6.2263e-13	3.93889	2.5152e+06
45-13.whole.wo.indels.fasta.chr-8	7.86555e-07	3.12484e-13	1.97984	2.51711e+06
45-4.whole.wo.indels.fasta.chr-8	1.30002e-06	5.16721e-13	3.27072	2.5159e+06
47-10.whole.wo.indels.fasta.chr-8	3.51262e-06	1.39527e-12	8.84311	2.51753e+06
54-1.whole.wo.indels.fasta.chr-8	3.42494e-05	1.39014e-11	84.3817	2.46374e+06
54-10.whole.wo.indels.fasta.chr-8	1.62396e-05	6.48191e-12	40.6862	2.50537e+06
736-1.whole.wo.indels.fasta.chr-8	5.25612e-05	2.22125e-11	124.375	2.36628e+06
As_615.whole.wo.indels.fasta.chr-8	3.91523e-06	1.55724e-12	9.84375	2.51422e+06
As_628.whole.wo.indels.fasta.chr-8	4.5416e-06	1.80674e-12	11.4162	2.5137e+06
As_676-1.whole.wo.indels.fasta.chr-8	1.87311e-05	7.56375e-12	46.3863	2.47643e+06
As_687-1.whole.wo.indels.fasta.chr-8	2.51154e-06	9.99951e-13	6.30813	2.51166e+06
As_691-1.whole.wo.indels.fasta.chr-8	4.90861e-06	1.95222e-12	12.3421	2.51438e+06
As_692-1.whole.wo.indels.fasta.chr-8	3.90168e-06	1.55415e-12	9.79511	2.51048e+06
As_711-2.whole.wo.indels.fasta.chr-8	2.87717e-06	1.14408e-12	7.23564	2.51484e+06
As_720-3.whole.wo.indels.fasta.chr-8	2.89852e-06	1.15221e-12	7.29155	2.51561e+06
As_732-1.whole.wo.indels.fasta.chr-8	4.74449e-06	1.88863e-12	11.9188	2.51213e+06
As_737-1.whole.wo.indels.fasta.chr-8	2.34913e-06	9.33238e-13	5.91317	2.51718e+06
As_739-3.whole.wo.indels.fasta.chr-8	3.01565e-05	1.2351e-11	73.6311	2.44163e+06
As_746-1.whole.wo.indels.fasta.chr-8	4.64267e-06	1.84768e-12	11.6656	2.5127e+06
As_749-3.whole.wo.indels.fasta.chr-8	2.06603e-05	8.46613e-12	50.4184	2.44035e+06
As_754-2.whole.wo.indels.fasta.chr-8	4.66813e-06	1.85711e-12	11.734	2.51365e+06
As_774-1.whole.wo.indels.fasta.chr-8	2.94606e-06	1.17019e-12	7.417	2.5176e+06
As_CONR4D.whole.wo.indels.fasta.chr-8	2.23393e-06	8.89617e-13	5.60967	2.51112e+06
As_CONRI4.whole.wo.indels.fasta.chr-8	3.09571e-06	1.23117e-12	7.78397	2.51444e+06
As_OONR2J.whole.wo.indels.fasta.chr-8	1.62304e-06	6.45783e-13	4.07917	2.51329e+06
As_T2R3B.whole.wo.indels.fasta.chr-8	3.29866e-06	1.31175e-12	8.29514	2.5147e+06
NODE_49	3.89792e-06	1.5484e-12	9.81252	2.51738e+06
NODE_50	2.10818e-06	8.38547e-13	5.30017	2.51409e+06
NODE_51	5.17112e-05	2.17985e-11	122.671	2.37224e+06
NODE_52	4.98602e-06	2.04176e-12	12.176	2.44203e+06
NODE_53	1.5687e-06	6.2317e-13	3.94887	2.51729e+06
NODE_54	2.49284e-05	9.9369e-12	62.5371	2.50867e+06
NODE_55	3.09383e-05	1.27755e-11	74.9229	2.42169e+06
NODE_56	6.19185e-06	2.55335e-12	15.0152	2.425e+06
NODE_57	2.00369e-06	7.96125e-13	5.04291	2.51681e+06
NODE_58	1.62485e-06	6.4598e-13	4.08704	2.51533e+06
NODE_59	1.18018e-06	4.68698e-13	2.97167	2.51799e+06
NODE_60	1.57395e-06	6.25276e-13	3.96194	2.5172e+06
NODE_61	1.20887e-06	4.80288e-13	3.04269	2.51697e+06
NODE_62	1.99761e-06	7.94348e-13	5.02354	2.51478e+06
NODE_63	5.33342e-05	2.17478e-11	130.796	2.45239e+06
NODE_64	7.86138e-07	3.12207e-13	1.97949	2.518e+06
NODE_65	1.12828e-06	4.48396e-13	2.83907	2.51627e+06
NODE_66	1.15455e-06	4.58538e-13	2.90702	2.51789e+06
NODE_67	1.52164e-06	6.04267e-13	3.83173	2.51816e+06
NODE_68	7.86246e-07	3.12275e-13	1.97961	2.5178e+06
NODE_69	4.00502e-07	1.59341e-13	1.00666	2.51349e+06
NODE_70	5.31549e-07	2.11181e-13	1.33793	2.51703e+06
NODE_71	5.04521e-05	2.06911e-11	123.02	2.43835e+06
NODE_72	1.96458e-06	7.82383e-13	4.9331	2.51102e+06
NODE_73	4.82379e-05	1.97194e-11	118	2.44621e+06
NODE_74	1.73045e-05	6.92924e-12	43.2148	2.49732e+06
NODE_75	5.30155e-06	2.13119e-12	13.1882	2.48761e+06
NODE_76	3.79755e-06	1.50983e-12	9.55162	2.51521e+06
NODE_77	4.36358e-06	1.75001e-12	10.8804	2.49345e+06
NODE_78	6.32974e-05	2.64796e-11	151.308	2.39042e+06
NODE_79	5.86445e-06	2.33626e-12	14.7209	2.51019e+06
NODE_80	1.87245e-05	7.56722e-12	46.3323	2.47442e+06
NODE_81	1.47482e-05	5.98227e-12	36.3588	2.46531e+06
NODE_82	1.42505e-05	5.74726e-12	35.3345	2.47953e+06
NODE_83	3.12625e-05	1.2569e-11	77.7585	2.48728e+06
NODE_84	3.0304e-05	1.22956e-11	74.6881	2.46463e+06
NODE_85	2.26201e-05	9.22689e-12	55.4543	2.45155e+06
NODE_86	1.40881e-05	5.67418e-12	34.9783	2.48284e+06
NODE_87	1.51437e-05	6.10657e-12	37.555	2.47991e+06
NODE_88	2.70987e-05	1.08447e-11	67.7139	2.49879e+06
NODE_89	1.39196e-05	5.62837e-12	34.4246	2.47311e+06
NODE_90	1.96707e-05	7.94216e-12	48.7193	2.47674e+06
NODE_91	1.28244e-05	5.22553e-12	31.4737	2.45419e+06
NODE_92	2.55741e-05	1.02523e-11	63.794	2.49448e+06
NODE_93	4.00722e-07	1.59301e-13	1.00802	2.5155e+06
